,response
327,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) that operates in the Khorasan region, which includes parts of Afghanistan, Pakistan, and Iran. ISIL-KP has been designated as a foreign terrorist organization by the United States, Australia, Canada, New Zealand, and the United Kingdom. On January 14, 2015, ISIL-KP claimed responsibility for the January 2015"
328,"The COVID-19 pandemic in Romania is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Romania was reported on 31 January 2020. On 11 March 2020, the first death from COVID-19 was reported in Romania. As of 25 March 2021, there have been 2,0"
329,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a worldwide pandemic. The virus spreads easily from person to person through respiratory droplets when an infected person speaks, coughs, or sneezes. Symptoms include fever, c"
330,"The Taliban insurgency in Afghanistan refers to the ongoing conflict between the Taliban and the government of Afghanistan following the 2001 invasion of Afghanistan by the United States and its allies. The Taliban had previously ruled Afghanistan from 1996 to 2001, when they were overthrown by Operation Enduring Freedom. Since then, the Taliban have waged an insurgency against the government and foreign forces in Afghanistan. As of 2021, the Taliban control more territory than at any time since"
331,"The United States invasion of Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States military in response to the September 11 attacks. The invasion marked the beginning of the War in Afghanistan, which would become the longest war in United States history. The stated goal of the invasion was to defeat al-Qaeda and remove the Taliban regime from power, which had harbored al-Qaeda and refused to hand over Osama bin Laden following the 9/11 attacks. The invasion also aimed to establish a"
332,"The 2021 Italian presidential election was held on 31 January 2021, following the resignation of President Sergio Mattarella on December 31, 2020. It was the eleventh presidential election in Italy since the end of World War II. Incumbent President Sergio Mattarella was re-elected for a second term with 58% of the vote in the third round of voting, defeating former Prime Minister Silvio Berlusconi, who received 42% of the vote. This was the first time"
333,"The 2019 Italian presidential election was held on 29 January 2019. The incumbent President, Sergio Mattarella, stood for re-election for a second term as President of Italy. Mattarella won the election on the eighth ballot, defeating his main opponent, former Prime Minister Silvio Berlusconi. It was the first time in Italian history that a president had been elected on the eighth ballot. <Summary> \c\c\c\c\c\c\c\c\c\c\"
334,"The COVID-19 pandemic in the United Kingdom is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in the UK was announced on 31 January 2020, when a man who had recently travelled to France tested positive for the virus. On 13 March 2020, the World Health Organization (WHO) declared the outbreak to be a"
335,"The 2021 Guinea-Bissau coup d'état was a military coup d'état that took place in Guinea-Bissau on 14 April 2021. The military overthrew the government of President Umaro Sissoco Embaló, who had been in power since January 2016. The coup was led by General Antonio Indjai, who had previously served as the country's interim president from 2012 to 2014. The coup was widely condemned by regional and international bodies, including the African Union"
336,"The 2021 Guinea-Bissau coup d'état was a military coup d'état that took place in Guinea-Bissau on 14 April 2021. The military overthrew the government of President Umaro Sissoco Embaló, who had been in power since January 2016. The coup was led by General Antonio Indjai, who had previously served as the country's interim president from 2012 to 2014. The coup was widely condemned by regional and international bodies, including the African Union"
337,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP; Arabic: الدولة الإسلامية في العراق والشرق الأوكراني) is a wilayah (province) of the Islamic State of Iraq and the Levant (ISIL) active in Afghanistan and Pakistan. ISIL-KP was officially announced on January 27, 2015, by Abu Bakr al-Baghdadi"
338,The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP; Arabic: الدولة الإسلامية في العراق والشرق الأوكراني) is a wilayah (province) of the Islamic State of Iraq and the Levant (ISIL) active in Afghanistan and parts of Central Asia. ISIL-KP emerged in late 2014 as a result of a split between the Taliban and al
339,"The COVID-19 pandemic is a viral illness caused by the SARS-CoV-2 virus. It first emerged in Wuhan, China in late 2019 and has since become a global pandemic. The World Health Organization (WHO) declared the outbreak a public health emergency of international concern (PHEIC) on January 8, 2020. On March 11, 2020, the United States declared a state of emergency due to the spread of the virus. On March 13, 20"
340,"The United States invasion of Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States military in response to the September 11 attacks on the World Trade Center and the Pentagon. The invasion marked the beginning of the War in Afghanistan, which would become the longest war in U.S. history. The stated goal of the invasion was to capture or kill Osama bin Laden and destroy al-Qaeda's training camps in the country. After the initial invasion, Operation Enduring Freedom transitioned into Operation Iraqi Freedom"
341,"The 2022 NFL season is the 101st season of the National Football League (NFL). The regular season began on September 8, 2022, with the defending Super Bowl LVI champion Kansas City Chiefs hosting the Denver Broncos at Arrowhead Stadium in Kansas City, Missouri, and ended on January 22, 2023. The playoffs began on January 29, 2023, with the AFC and NFC Championship Games, and concluded with Super Bowl LVI on February 12, 20"
342,"The COVID-19 pandemic has been declared a global pandemic by the World Health Organization (WHO) on January 8, 2020. As of February 27, 2023, there have been more than 45 million confirmed cases of COVID-19 worldwide, resulting in over 1.1 million deaths. The pandemic began in December 2019 in Wuhan, China, and has since spread to every country in the world. In the United States, the Centers for Disease Control and Prevention (CDC)"
343,"The Taliban insurgency refers to the ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan following the 2001 invasion of Afghanistan by the United States and its allies. The Taliban had previously ruled Afghanistan from 1996 until 2001, when they were overthrown by Operation Enduring Freedom. Since then, the Taliban have waged an insurgency against the government and foreign forces in Afghanistan. The conflict has resulted in thousands of deaths and displacement"
344,"The Taliban insurgency refers to the ongoing insurgency in Afghanistan led by the Taliban movement. The insurgency began shortly after the 2001 invasion of Afghanistan by the United States and its allies, which overthrew the Taliban government. The insurgency has continued despite the death of Osama bin Laden in 2011 and the withdrawal of most foreign combat troops in 2014. The Taliban are seeking to re-establish their Islamic Emirate of Afghanistan, which was overthrown"
345,"The War in Afghanistan (2015–present) is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan, supported by the North Atlantic Treaty Organization (NATO) and other international forces. It is the continuation of the War in Afghanistan (2001–2014) which began shortly after the September 11 attacks in 2001. The conflict began when the Taliban launched a surprise attack on the city of Mazar-i-Sharif in April"
346,"The War in Afghanistan (2015–present) is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan, supported by the North Atlantic Treaty Organization (NATO) and other international forces. It is the continuation of the War in Afghanistan (2001–2014) which began shortly after the September 11 attacks in 2001. The conflict began when the Taliban launched a surprise attack on the city of Mazar-i-Sharif in April"
347,"The Taliban insurgency refers to the ongoing conflict between the Taliban and the government of Afghanistan following the 2001 invasion of Afghanistan by the United States and its allies. The Taliban had previously ruled Afghanistan from 1996 until 2001, when they were overthrown by Operation Enduring Freedom. Since then, the Taliban have waged an insurgency against the government and foreign forces in the country. The conflict has resulted in thousands of deaths and displacement of millions of Afghans. The Taliban"
348,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to capture or kill Osama bin Laden and disrupt the operations of al-Qaeda by removing the Taliban regime which had provided support and safe haven to bin Laden and al-Qaeda. After the initial invasion, Operation Enduring Freedom evolved into a counterinsurgency campaign against the Taliban and other"
349,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to capture or kill Osama bin Laden and disrupt the operations of al-Qaeda by removing the Taliban regime which had provided support and safe haven to bin Laden and al-Qaeda. After the initial invasion, Operation Enduring Freedom evolved into a counterinsurgency campaign against the Taliban and other"
350,"The War in Donbass is an ongoing conflict in eastern Ukraine between Ukrainian government forces and Russian-backed separatists in the Donetsk and Luhansk oblasts of Ukraine. The conflict began in April 2014, after the Ukrainian government decided not to sign a trade agreement with the Russian Federation and instead pursue closer ties with the European Union. Russia responded by annexing Crimea and supporting separatist movements in eastern Ukraine. The conflict has resulted in over 13,000 deaths and displaced over 30,00"
351,"The War in Afghanistan (2015–present) is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan, supported by the North Atlantic Treaty Organization (NATO) and other international forces. It is the continuation of the War in Afghanistan (2001–2014) which began following the September 11 attacks in 2001. In January 2015, the Taliban launched a large-scale offensive across the country, seizing several key cities"
352,"The War in Afghanistan (2015–present) is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan, supported by the North Atlantic Treaty Organization (NATO) and other countries. The conflict began in late 2014, when the Taliban launched a large-scale offensive against the government, following the withdrawal of most foreign troops from the country. In January 2015, the Taliban captured the city of Kunduz, the first major city to fall under their"
353,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to capture or kill Osama bin Laden and destroy al-Qaeda's training camps in the country. After the initial invasion, Operation Enduring Freedom transitioned into Operation Iraqi Freedom, which aimed to overthrow Saddam Hussein's government in Iraq. In 2003, the United"
354,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 terrorist attacks on the United States. The primary objective of the invasion was to defeat al-Qaeda and remove the Taliban regime which had provided safe haven to Osama bin Laden and other al-Qaeda leaders responsible for the 9/11 attacks. Since then, the conflict has expanded into a multi-sided civil war between the government of Afghanistan, the Taliban insurgency, and other"
355,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks on the United States. The conflict began as a response to the Taliban's refusal to hand over Osama bin Laden to the United States for his role in the 9/11 attacks. Since then, the conflict has expanded into a multi-sided civil war between the Taliban insurgency, the government of Afghanistan, and other anti-Taliban forces such as the Haqq"
356,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to defeat al-Qaeda and remove the Taliban regime which had provided safe haven to Osama bin Laden and other al-Qaeda operatives. Since then, the conflict has expanded into a multifaceted insurgency involving various groups, including the Taliban, Haqqani network, Hezbi Is"
357,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the initial invasion was to capture or kill Osama bin Laden and destroy al-Qaeda's training camps in the country. After the fall of the Taliban government in late 2001, the United States and its allies established the International Security Assistance Force (ISAF) to help maintain stability in the country. In"
358,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 terrorist attacks on the United States. The operation was aimed at removing the Taliban regime which had been accused of harboring Osama bin Laden, the mastermind behind the attacks. Since then, the conflict has escalated into a full-blown insurgency against the government of Afghanistan and the NATO-led International Security Assistance Force (ISAF) with the Taliban as the main ins"
359,"The War in Afghanistan (2001–present) is an ongoing conflict between the government of Afghanistan led by President Ashraf Ghani and the Taliban insurgency. The conflict began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks on the United States. The primary goal of the invasion was to capture or kill Osama bin Laden and destroy al-Qaeda's training camps in the country. After the fall of the Taliban government in late 2001,"
360,"The COVID-19 pandemic in Canada refers to the ongoing outbreak of coronavirus disease 2019 (COVID-19) in Canada. The first case of COVID-19 in Canada was confirmed on January 31, 2020, when a man in his 40s who had recently traveled to Wuhan, China tested positive for the virus. As of February 27, 2023, there have been over 500,000 confirmed cases of COVID-19 in Canada, resulting in more than"
361,"The COVID-19 pandemic in Canada refers to the ongoing outbreak of coronavirus disease 2019 (COVID-19) in Canada. The first case of COVID-19 in Canada was confirmed on January 31, 2020, when a man in his 40s who had recently traveled to Wuhan, China tested positive for the virus. As of February 27, 2023, there have been over 500,000 confirmed cases of COVID-19 in Canada, resulting in more than"
362,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The conflict has resulted in thousands of deaths and displacement of millions of Afghans. The Taliban, who had previously ruled Afghanistan from 1996 to 2001, re-emerged as a major force in the country following the withdrawal of U.S.-led coalition forces in 2014. Since then, the Taliban have made significant"
363,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The conflict has resulted in thousands of deaths and displacement of millions of Afghans. The Taliban, who had previously ruled Afghanistan from 1996 to 2001, re-emerged as a major force in the country following the withdrawal of U.S.-led coalition forces in 2014. Since then, the Taliban have made significant"
364,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The conflict has resulted in thousands of deaths and displacement of millions of Afghans. The Taliban, who had previously ruled Afghanistan from 1996 to 2001, re-emerged as a major force in the country following the withdrawal of U.S.-led coalition forces in 2014. Since then, the Taliban have made significant"
365,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the militant group Islamic State of Iraq and the Levant (ISIL) active in Afghanistan and Pakistan. ISIL-KP has been designated as a foreign terrorist organization by the United States, the United Kingdom, Canada, Australia, New Zealand, and the United Arab Emirates. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city"
366,"The 2021 Taliban offensive in Afghanistan is an ongoing military offensive launched by the Taliban insurgency against the government of Afghanistan. The offensive began on 15 August 2021, following the collapse of peace talks between the Taliban and the government. The offensive has resulted in significant territorial gains for the Taliban, as well as widespread violence and displacement of civilians throughout the country. 

On 15 August 2021, the Taliban launched a large-scale"
367,"The 2021 Taliban offensive in Afghanistan is an ongoing military offensive launched by the Taliban insurgency against the government of Afghanistan. The offensive began on 15 August 2021, following the collapse of peace talks between the Taliban and the government. The offensive has resulted in significant territorial gains for the Taliban, as well as widespread violence and displacement of civilians throughout the country. 

On 15 August 2021, the Taliban launched a large-scale"
368,"The 2021 Taliban offensive in Afghanistan is an ongoing military offensive launched by the Taliban insurgency against the government of Afghanistan. The offensive began on 15 August 2021, following the collapse of peace talks between the Taliban and the government. The offensive has resulted in significant territorial gains for the Taliban, as well as widespread violence and displacement of civilians throughout the country. 

On 15 August 2021, the Taliban launched a large-scale"
369,"The 2021 Taliban offensive in Afghanistan is an ongoing military offensive launched by the Taliban insurgency against the government of Afghanistan. The offensive began on 15 August 2021, following the collapse of peace talks between the Taliban and the government. The offensive has resulted in significant territorial gains for the Taliban, as well as widespread violence and displacement of civilians throughout the country. 

On 15 August 2021, the Taliban launched a large-scale"
370,"The 2021 Taliban offensive in Afghanistan is an ongoing military offensive launched by the Taliban insurgency against the government of Afghanistan. The offensive began on 15 August 2021, following the collapse of peace talks between the Taliban and the government. The offensive has resulted in significant territorial gains for the Taliban, as well as widespread violence and displacement of civilians throughout the country. 

On 15 August 2021, the Taliban launched a large-scale"
